tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,"tBodyAcc-correlation()-X,Y","tBodyAcc-correlation()-X,Z","tBodyAcc-correlation()-Y,Z",tGravityAcc-mean()-X,tGravityAcc-mean()-Y,tGravityAcc-mean()-Z,"tGravityAcc-correlation()-X,Y","tGravityAcc-correlation()-X,Z","tGravityAcc-correlation()-Y,Z",tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,tBodyAccMag-mean(),"angle(X,gravityMean)","angle(Y,gravityMean)","angle(Z,gravityMean)",Activity
0.27688027,-0.012721805,-0.10343832,0.008503662,-0.35591621,0.22730862,0.96920266,-0.15236144,0.081258077,0.72373488,0.21537683,0.82187482,-0.024708255,-0.068884585,0.085481775,-0.98804033,-0.85156175,0.18760932,-0.034681168,STANDING
0.27622817,-0.021441302,-0.10820234,-0.26723866,-0.11897109,0.1655597,0.96925328,-0.15006376,0.082931213,-0.35521247,-0.91145953,0.24547779,-0.031173158,-0.074666711,0.091577535,-0.99477563,-0.8527234,0.18605036,-0.035852089,STANDING
0.278457,-0.020414761,-0.11273172,-0.035235838,-0.15630495,0.11396453,0.9689963,-0.1523621,0.083150803,-0.52808146,-0.2221837,0.88213506,-0.029168611,-0.075944066,0.086183519,-0.99532501,-0.85065446,0.18761054,-0.035997955,STANDING
0.27717497,-0.014712802,-0.10675647,0.043618841,-0.14385258,0.097965304,0.96904398,-0.15414125,0.081819604,0.39554996,0.96094431,0.38497511,-0.027087093,-0.071831343,0.083622237,-0.99670013,-0.84977267,0.1888122,-0.035063399,STANDING
0.29794572,0.027093908,-0.061668123,0.82187193,0.73765624,0.94534472,0.94489486,-0.29262334,-0.021435523,0.9820383,0.92022158,0.9745339,-0.010548201,0.15705425,-0.17452147,-0.90458778,-0.73093729,0.28315855,0.036443909,STANDING
0.27920345,-0.023020143,-0.12208028,0.32959319,0.23799944,0.53873094,0.95201342,-0.26311695,-0.003576164,0.58269297,0.64056672,0.96107484,-0.015810859,0.027702205,-0.02694145,-0.98446381,-0.76110079,0.26311858,0.02417211,STANDING
0.27903836,-0.014800378,-0.11684896,0.28049739,0.12711242,0.53834512,0.95272437,-0.26509148,-0.007708992,-0.58100374,-0.41060157,0.83074477,-0.013406816,-0.046264419,0.060933625,-0.98904307,-0.75917219,0.26432447,0.027014344,STANDING
0.2801349,-0.013916951,-0.10637048,0.15336261,-0.097573537,0.1283793,0.95306401,-0.26471825,-0.011556695,0.95408754,0.42776015,0.1673022,-0.012725097,-0.077761376,0.094503668,-0.99507155,-0.75936327,0.26403279,0.029664019,STANDING
0.27773106,-0.018210718,-0.10918803,0.19087473,-0.045007306,0.030811416,0.95360569,-0.26305774,-0.011094388,0.89428322,0.91980763,0.99029772,-0.02464236,-0.087790863,0.10782187,-0.99872681,-0.76105187,0.26288599,0.029345734,STANDING
0.27556818,-0.016979698,-0.11142918,0.1109392,0.074452759,0.25549758,0.95359464,-0.26348997,-0.011425851,0.95136401,0.99525197,0.96263371,-0.029461913,-0.084376762,0.10074789,-0.99797237,-0.76062023,0.26316935,0.029573033,STANDING
0.27756171,-0.014318487,-0.10787724,0.067142244,-0.039385653,0.20571749,0.95313551,-0.2634369,-0.012458678,-0.35804548,0.87796408,0.10262377,-0.029814933,-0.078706495,0.093773469,-0.99844133,-0.76052773,0.26318349,0.030288454,STANDING
0.27715238,-0.017983328,-0.10660117,0.11619943,0.10881227,0.11959726,0.95318325,-0.26189643,-0.012015606,0.79214304,0.95708072,0.85243397,-0.02917889,-0.07955402,0.094585279,-0.997891,-0.7620229,0.26217028,0.029986987,STANDING
0.2756763,-0.021264234,-0.11080122,-0.097758652,0.084406452,0.10756232,0.95309294,-0.26245862,-0.011512171,0.97753979,0.77592298,0.68122622,-0.028153699,-0.076118947,0.088998758,-0.99589346,-0.76150888,0.26255006,0.02963917,STANDING
0.2792002,-0.017714427,-0.10916135,-0.041202468,-0.039424574,0.43650203,0.95273161,-0.26500697,-0.012703514,0.36635015,0.1508776,0.96883773,-0.027220935,-0.069195151,0.079055228,-0.99521534,-0.75896013,0.26425623,0.030456029,STANDING
0.28171549,-0.011910678,-0.10287513,-0.22370213,-0.04662344,0.26522187,0.9532188,-0.2650432,-0.013126421,0.69162658,0.57024894,0.97354191,-0.024960701,-0.071607144,0.080856127,-0.99419344,-0.75897692,0.26422361,0.030743151,STANDING
0.27899267,-0.014531029,-0.10659617,0.13194588,0.27857064,0.28104887,0.95419361,-0.26194319,-0.011180786,0.89179034,0.95990196,0.97983054,-0.027372739,-0.0753043,0.088552726,-0.9957494,-0.76219671,0.26209013,0.029403668,STANDING
0.27573444,-0.01801884,-0.10677578,0.14266263,0.079348194,0.25680704,0.95458893,-0.26049928,-0.009959401,0.62263572,0.2587332,0.46643605,-0.030529617,-0.074705186,0.089415593,-0.9985525,-0.76370208,0.26110336,0.028562963,STANDING
0.14450396,0.18926326,0.062769317,-0.99084317,-0.9503355,0.98594537,0.87409866,0.042479149,0.33309449,-0.98517456,-0.9452333,0.98713302,-0.046489666,-0.28289794,0.22948437,-0.5543692,-0.66708465,0.054216165,-0.21887457,SITTING
0.28725164,-0.037455064,-0.14597431,-0.92931336,-0.29980838,0.4389848,0.83566368,0.16067501,0.39982173,-0.95834322,-0.27806998,0.54073582,-0.04840838,-0.23917386,0.24705037,-0.93459377,-0.56480737,-0.027044798,-0.26605456,SITTING
0.2799976,-0.019484036,-0.10572355,-0.83824416,-0.71400919,0.73545553,0.83695957,0.15187734,0.38646765,-0.99885647,-0.936168,0.95080681,-0.039411936,-0.16674787,0.18301929,-0.97699498,-0.57936742,-0.021566893,-0.2575301,SITTING
0.22184689,0.034107675,-0.12361242,-0.026317204,-0.85798787,-0.36271177,0.83878762,0.15070183,0.38345181,0.02585089,-0.72876492,-0.63933398,-0.037731641,0.021333829,0.076579313,-0.81575864,-0.58280626,-0.020755925,-0.25526977,SITTING
-0.041701306,0.17510248,0.025551778,-0.48927158,-0.90890877,0.32502966,0.81080506,0.19559534,0.38713197,-0.96909418,-0.86679192,0.7171826,-0.003823281,0.019187316,-0.050212092,-0.50739668,-0.5529392,-0.053538987,-0.26042439,SITTING
0.013903671,0.15329608,0.016242945,-0.96116524,-0.94168963,0.88738932,0.70308608,0.31406786,0.43977403,-0.99852677,-0.99697697,0.99083648,-0.00459722,-0.15669611,0.060405191,-0.62102725,-0.41836808,-0.14254902,-0.30588383,SITTING
0.30368927,-0.004242805,-0.15085028,-0.9105816,-0.70601421,0.37301588,0.6182581,0.40950272,0.4812985,-0.89581954,-0.67124312,0.27150646,-0.042681542,-0.15263343,0.20315388,-0.91595384,-0.30588411,-0.21333904,-0.33700092,SITTING
0.29075969,-0.02403476,-0.11673889,-0.94519479,-0.9112514,0.81463189,0.6220655,0.41986657,0.46862799,-0.97138089,-0.99037907,0.92937738,-0.041556713,-0.11325798,0.1566043,-0.97480504,-0.30919487,-0.22111662,-0.32645795,SITTING
0.27090823,-0.014412968,-0.10652245,-0.56236174,-0.46792899,0.30846812,0.62745102,0.41503721,0.46423103,-0.86852325,-0.9446396,0.66680238,-0.035457677,-0.091001714,0.11779396,-0.99523836,-0.3167322,-0.21772934,-0.32332877,SITTING
0.2795534,-0.017001147,-0.11051668,-0.42516976,-0.25641868,0.26757742,0.62532313,0.41648854,0.46494774,-0.5306935,-0.76787599,-0.12892309,-0.030919137,-0.074625079,0.094283835,-0.99906744,-0.31457502,-0.2189352,-0.32398842,SITTING
0.27635864,-0.016138088,-0.10803259,-0.3349185,-0.56464246,0.12085188,0.62577398,0.4168573,0.46439573,-0.94810473,-0.95227069,0.97357937,-0.028201987,-0.072296089,0.084889322,-0.9980118,-0.31488562,-0.21916689,-0.32348431,SITTING
0.23715407,0.007825122,-0.12283791,0.091107372,0.58572318,0.049251575,0.89093772,0.11359108,0.33032214,-0.3071912,0.7992686,0.26868451,-0.22503946,-0.13315886,-0.59416576,-0.92623334,-0.65435613,0.006141106,-0.21275283,SITTING
0.2731084,0.006518112,-0.10947182,-0.68810256,-0.022209594,0.14751037,0.87653997,0.12558056,0.32520586,-0.89131478,0.91847494,-0.64651562,-0.14933808,-0.10757556,-0.28657183,-0.96816289,-0.65078203,-0.003048538,-0.21119617,SITTING
0.28150539,-0.018434859,-0.11139287,-0.068030921,-0.27920034,-0.10108775,0.87482213,0.14006721,0.32441057,0.61938879,-0.76049708,-0.024223901,-0.079366112,-0.094869929,-0.040538466,-0.99295106,-0.64514606,-0.013061244,-0.21042962,SITTING
0.27843225,-0.019654302,-0.10797029,-0.23155646,-0.33381329,0.10309262,0.8764618,0.1392361,0.32357956,-0.76603311,-0.94609787,0.81256533,-0.037824733,-0.07652653,0.074576303,-0.9934379,-0.64657849,-0.012405519,-0.20965049,SITTING
0.2733796,-0.009940106,-0.10839283,-0.22899227,0.10808804,0.088823542,0.87645385,0.13843401,0.3233988,-0.90959587,-0.79157623,0.87476393,-0.0210748,-0.072633665,0.11579647,-0.99091407,-0.64706219,-0.011866506,-0.20955912,SITTING
0.27905615,-0.01626097,-0.11281565,-0.53852513,0.1242124,0.2066975,0.87538094,0.14222283,0.32351271,-0.97755058,-0.31132102,0.24217138,-0.01749462,-0.073362144,0.12893616,-0.98754731,-0.64510509,-0.014516278,-0.20966409,SITTING
0.2785991,-0.019910142,-0.1111806,-0.57669161,-0.24410899,0.35977494,0.87579788,0.14258451,0.32194771,-0.99001829,-0.90447964,0.94595294,-0.020494785,-0.069807644,0.1068855,-0.99012264,-0.64633366,-0.014783523,-0.20853819,SITTING
0.27328142,-0.011127209,-0.10634926,-0.36229685,-0.10436115,0.007964409,0.87599536,0.14162959,0.3204761,-0.92829374,-0.37719876,0.56981718,-0.024644144,-0.070023979,0.092631918,-0.99302412,-0.64799745,-0.014168187,-0.20755542,SITTING
0.27853812,-0.016173432,-0.10970656,-0.28376706,0.10167474,-0.052470967,0.87478155,0.14485798,0.32053935,-0.93743229,-0.67729844,0.39294476,-0.02633867,-0.074526058,0.092148536,-0.99414636,-0.64625395,-0.016451134,-0.20766551,SITTING
0.27746121,-0.017491016,-0.10635945,-0.1916099,-0.26627541,0.2049001,0.87474639,0.14560336,0.32038708,-0.87399669,-0.55413756,0.086551571,-0.028021481,-0.07403317,0.081238251,-0.99354892,-0.64604389,-0.016965715,-0.20754128,SITTING
0.27394057,-0.013147584,-0.10543517,-0.28922021,-0.20605938,-0.17358214,0.8742316,0.14572717,0.32162961,-0.95427973,-0.83527322,0.65432942,-0.028699232,-0.075571862,0.08489365,-0.99264098,-0.6448514,-0.017046458,-0.20844898,SITTING
0.27930326,-0.020521383,-0.11323643,-0.52365629,-0.26334368,0.078122989,0.87324201,0.14758583,0.32233576,-0.98835405,-0.26488255,0.15332044,-0.028006084,-0.07630627,0.092467106,-0.99205145,-0.64322033,-0.018360329,-0.20900476,SITTING
0.2790872,-0.019083242,-0.10588882,-0.44815828,-0.35185773,0.63379014,0.87410872,0.1456773,0.32087334,-0.99700436,-0.86155132,0.87716731,-0.028211664,-0.072544173,0.080864612,-0.99147471,-0.64545984,-0.017047243,-0.20796204,SITTING
0.40347433,-0.015074404,-0.11816739,0.49259942,-0.59333676,-0.61831977,-0.25504375,0.77465873,0.58977655,0.7134401,-0.83320475,-0.89854355,0.031551954,-0.13199514,0.54327885,-0.90512291,0.43247853,-0.55335148,-0.43287564,LAYING
0.27837321,-0.020560964,-0.096824565,-0.38814507,0.59620994,-0.47637782,-0.21014776,0.7739047,0.58511978,-0.62610554,0.67923945,-0.99606818,0.00925711,-0.078793121,0.25756479,-0.98744609,0.39985328,-0.55036444,-0.42759273,LAYING
0.27655526,-0.01786855,-0.10762126,-0.19946053,0.025079885,-0.23330795,-0.20876483,0.77171208,0.58994727,0.91064228,-0.91482715,-0.95503448,-0.013424389,-0.075370833,0.10054482,-0.99798763,0.39906577,-0.54672465,-0.43124421,LAYING
0.27957476,-0.017275722,-0.10948053,-0.38771752,0.19671526,-0.42817909,-0.20956406,0.77109662,0.59010467,-0.97220071,-0.69565188,0.77502779,-0.02495981,-0.076133944,0.043037574,-0.99950449,0.39955483,-0.54647681,-0.43164599,LAYING
0.27652699,-0.0168191,-0.10798311,-0.27673377,-0.039538395,-0.27661157,-0.20874807,0.77103706,0.58941397,-0.35166469,0.092731035,-0.74606153,-0.029550387,-0.068085138,0.045946749,-0.99905773,0.3988886,-0.54671226,-0.43120727,LAYING
0.27812334,-0.017146303,-0.10801374,-0.000569442,-0.1881217,-0.075398299,-0.20871697,0.77129107,0.58933471,0.27118998,0.37790452,-0.18006797,-0.030431147,-0.073488076,0.055590694,-0.99742945,0.39889738,-0.54685884,-0.43105379,LAYING
0.27800654,-0.01780317,-0.10896485,-0.033535332,-0.2156226,-0.25132829,-0.20863346,0.77135108,0.58963487,0.29181903,-0.55511751,-0.72107926,-0.02979633,-0.071422989,0.075146974,-0.99741966,0.39888109,-0.54671715,-0.43119994,LAYING
0.2802064,-0.01839626,-0.10748863,-0.18833302,-0.13807081,-0.28327469,-0.20856027,0.7707487,0.59001704,-0.48241492,0.41433367,-0.98880092,-0.02885418,-0.072704386,0.085061987,-0.99728212,0.39877771,-0.54624972,-0.43166802,LAYING
0.28182774,-0.018626474,-0.10527824,-0.33115301,-0.067777188,-0.096512059,-0.20760682,0.76992271,0.5904504,-0.6471713,0.051824751,-0.64833642,-0.027737135,-0.075772812,0.086471819,-0.9957705,0.39801973,-0.54555047,-0.43219711,LAYING
0.27672941,-0.017209548,-0.10563797,-0.36586373,0.024140657,-0.20623014,-0.20636268,0.7692959,0.59130586,-0.4744113,0.6293291,-0.97084966,-0.027415438,-0.076236511,0.088193255,-0.9958683,0.39713425,-0.54467991,-0.43287147,LAYING
0.27588359,-0.016150309,-0.10882921,-0.27195948,0.026906096,-0.26066414,-0.20649916,0.7691518,0.59214322,-0.69568082,0.3107426,-0.89768763,-0.027557917,-0.074717452,0.087574809,-0.99758819,0.3973035,-0.54419774,-0.43343266,LAYING
0.27783021,-0.017684054,-0.1057035,-0.20704416,0.14876096,-0.2474798,-0.20702615,0.76962832,0.59219232,-0.92878609,0.87369369,-0.72080911,-0.028189688,-0.075922288,0.085242467,-0.99786725,0.39775801,-0.54444236,-0.43330166,LAYING
0.27937115,-0.017644953,-0.10818111,-0.27441241,-0.048235241,-0.1772815,-0.20699211,0.76946735,0.59291655,-0.70337247,0.81930064,-0.93693086,-0.027948324,-0.075748823,0.086152221,-0.9973188,0.39779057,-0.54399111,-0.43379089,LAYING
0.019016151,-0.007037357,-0.028333356,-0.86499754,-0.89843209,0.69172976,0.044743889,0.75845367,0.50493607,-0.96295314,-0.99369442,0.98109785,0.20204982,0.040694905,0.73162657,-0.72162699,0.20575936,-0.53610387,-0.36073577,LAYING
0.3402085,-0.036452984,-0.10625819,-0.83598551,0.029594521,-0.041688365,-0.047727828,0.76866913,0.54098815,-0.88146847,-0.83671123,0.90674508,0.1186012,-0.018781307,0.51290211,-0.94290262,0.27854399,-0.54409199,-0.38929322,LAYING
-0.16642569,-0.11935251,0.13303497,0.79665129,-0.72107513,-0.46166534,-0.041699844,0.75554154,0.54742535,0.51011115,-0.96785816,-0.54842481,-0.059379779,0.08809224,0.13125568,-0.51842779,0.27208294,-0.53412217,-0.39742768,LAYING
-0.23910256,-0.096904391,0.14803461,0.83571925,-0.73362882,-0.53259468,-0.18770377,0.70262213,0.63722785,0.98876634,-0.99755291,-0.99461466,-0.035961192,-0.034605486,0.058812713,-0.36210824,0.37879154,-0.48844315,-0.48705651,LAYING
0.34696848,0.069408647,-0.20082552,0.78647415,-0.9356094,-0.91446291,-0.35145953,0.65518574,0.73110976,0.7119155,-0.97002881,-0.85992162,0.082133212,-0.24323522,0.21592953,-0.67636425,0.50238617,-0.43127083,-0.57287374,LAYING
0.30383319,0.1036482,-0.24533103,-0.25492708,-0.72395035,0.09494146,-0.33939193,0.6970974,0.70209116,0.99127114,-0.99394202,-0.99645721,-0.036936103,-0.057546422,-0.052175402,-0.63496006,0.49453529,-0.46594003,-0.53580206,LAYING
-0.36120533,-0.26812111,0.17689637,0.65804699,-0.51592157,-0.26042397,-0.36048,0.71643717,0.6629796,0.89506685,-0.72842137,-0.94377526,-0.23782482,0.001320819,-0.098544364,-0.062945893,0.50873322,-0.49613177,-0.50619728,LAYING
-0.27706634,-0.68409659,0.34665772,0.23994439,-0.36069728,0.31443086,-0.57349604,0.52510468,0.77976328,0.94547065,-0.96216597,-0.99424584,-0.22981397,-0.084139792,0.12658478,0.29483896,0.66828427,-0.3366412,-0.67268482,LAYING
0.2574765,-0.41386534,0.017374188,0.3300118,-0.5381249,-0.82546912,-0.74182101,0.16014065,0.94954331,0.751859,-0.926334,-0.93995615,0.049928814,-0.11530276,0.19568759,-0.33101576,0.79297021,-0.034019619,-0.92814826,LAYING
0.27683965,-0.02714766,-0.1231748,-0.74555209,-0.47605784,0.33253621,-0.75672502,-0.05899586,0.9993499,-0.93818175,-0.36118815,0.048449226,0.16127991,-0.13043859,0.21213106,-0.84935162,0.79692828,0.12501854,-0.97719373,LAYING
0.26865095,0.016430154,-0.10372571,-0.40577154,-0.063106844,-0.25913766,-0.75607738,-0.068420491,0.99429673,-0.97701425,0.11349458,-0.31057743,0.086572053,-0.10767743,0.15907433,-0.95078066,0.79739372,0.13180225,-0.97526294,LAYING
0.28526329,-0.008888811,-0.10374518,0.013951068,-0.15929713,0.078549045,-0.75875146,-0.045998244,0.9957729,0.083187042,0.23548763,0.90418011,0.018982197,-0.088940444,0.11034306,-0.98981335,0.79917435,0.11596031,-0.97723061,LAYING
0.28347732,-0.007524458,-0.10928717,0.24278476,0.007219763,0.15706224,-0.75643925,-0.040042686,0.99732192,0.97611743,0.49452861,0.31224947,-0.022319625,-0.073791881,0.081217964,-0.99056014,0.79725696,0.11174753,-0.97914858,LAYING
0.27302712,-0.010196757,-0.11115339,0.016112743,-0.051271521,-0.16216288,-0.75507694,-0.034589346,0.99683535,-0.20880065,0.28159818,-0.94166815,-0.033496634,-0.06870624,0.076413374,-0.9923007,0.79641242,0.1079178,-0.98014271,LAYING
0.28202157,-0.037696218,-0.1348973,-0.12484573,-0.009271198,0.24702476,0.94530277,-0.24594143,-0.032164781,-0.87349292,0.23945657,-0.53415179,-0.47972952,0.082034033,0.25644309,-0.22455962,-0.77370661,0.25243212,0.044098743,WALKING
0.25584075,-0.064550029,-0.095186339,-0.212158,-0.060091435,0.23935096,0.941113,-0.25203524,-0.032883452,0.44531729,-0.60065087,-0.62784341,0.094091481,-0.30915291,0.086441165,-0.12650269,-0.76716315,0.25691881,0.044637597,WALKING
0.25486723,0.003814723,-0.12365809,-0.18770425,-0.07996828,0.28047032,0.9463639,-0.2642781,-0.025575066,0.41248045,0.32026698,0.2522418,0.21120057,-0.27290542,0.10198601,-0.16010001,-0.75741393,0.2644517,0.039416823,WALKING
0.34337048,-0.014446221,-0.16737697,-0.1957822,-0.15839397,0.44654047,0.95244515,-0.25983791,-0.026131065,0.66525584,0.25581449,-0.13380985,0.096081738,-0.16339425,0.025859464,-0.07351308,-0.76253431,0.26085042,0.03973498,WALKING
0.27623973,-0.029638413,-0.14261631,-0.22496592,-0.1841479,0.50365976,0.94712514,-0.25710034,-0.028422611,0.31343582,-0.057588718,0.6452164,0.008742388,0.011660578,0.004174515,-0.04949205,-0.76396808,0.25962894,0.041412489,WALKING
0.25546822,0.021219063,-0.048949431,-0.15177642,-0.049054,0.4657378,0.94574875,-0.25477781,-0.026521446,0.66276173,0.023355027,0.38239037,-0.0425566,0.097617796,0.084655454,-0.077394435,-0.76618572,0.25825832,0.040128173,WALKING
0.32113983,0.001581795,-0.043553705,-0.042306553,0.025252142,0.33436609,0.95021213,-0.24482976,-0.023627905,0.73906445,0.11670559,0.50955028,-0.037246509,-0.097676458,0.13248328,-0.09549311,-0.77667683,0.2512184,0.038105042,WALKING
0.2346659,-0.049547719,-0.11175723,-0.04756858,-0.069698133,0.25961637,0.94913033,-0.23690505,-0.022201127,0.43451894,0.17170386,0.35121356,-0.016108606,-0.2247527,0.14882964,-0.11344328,-0.78422533,0.24608543,0.037162294,WALKING
0.31263404,-0.026367749,-0.13095121,-0.20380286,-0.033051808,0.34722497,0.94691727,-0.26205559,-0.020235796,0.71172858,0.72725057,0.64532281,-0.23928593,0.078229978,0.043137262,-0.1696296,-0.7601763,0.26295137,0.035725938,WALKING
0.2769154,-0.03548621,-0.080569176,-0.2104071,-0.067470749,0.42438569,0.94686993,-0.25580058,-0.035627962,0.3218343,0.033600534,-0.054385473,-0.070738847,-0.11881544,0.14989071,-0.10747234,-0.76411341,0.25875981,0.046412684,WALKING
0.20530739,-0.008508278,-0.11964696,-0.20248144,-0.061249311,0.35800512,0.9454189,-0.25466811,-0.032057504,0.44108521,-0.86332777,-0.57407602,0.01278096,-0.29505011,0.18375478,-0.12980293,-0.76548846,0.25819326,0.043972437,WALKING
0.30699599,-0.01378698,-0.18016197,-0.19552448,-0.16140847,0.39640462,0.94193674,-0.25575938,-0.026832917,0.17348556,0.28932759,-0.045858428,-0.019691717,-0.16320524,0.099528543,-0.10480876,-0.76460055,0.25932627,0.040396555,WALKING
0.28151325,-0.040800898,-0.13467496,-0.25392212,-0.26045834,0.45253581,0.93746757,-0.25840003,-0.034867064,0.69239516,0.29780681,0.2566529,-0.049202381,0.088514793,0.019604124,-0.063225767,-0.76024173,0.2615288,0.04604602,WALKING
0.30388542,0.002768038,-0.038613087,-0.23977983,-0.10925468,0.43480092,0.93719527,-0.26621211,-0.03442325,-0.67805898,0.43507741,-0.85139972,-0.017927118,0.10532781,0.079664131,-0.017610633,-0.75288184,0.26672866,0.045691901,WALKING
0.3541929,-0.012560935,-0.058680943,-0.14487852,-0.065622731,0.38981905,0.94782306,-0.265399,-0.030585939,0.83920104,-0.004006592,-0.19125602,-0.011481705,-0.15332276,0.11270213,-0.035592505,-0.75597648,0.2649955,0.042851381,WALKING
0.22229785,-0.018659683,-0.11718642,-0.12114117,-0.15153879,0.31765612,0.95736507,-0.25851158,-0.030633221,0.88510266,0.06212095,0.082660132,0.012997123,-0.22759154,0.14288578,-0.062178356,-0.76399734,0.25941575,0.042765051,WALKING
0.21448125,0.009938745,-0.123073,-0.12829917,-0.18075864,0.25258001,0.95473147,-0.25421267,-0.027618421,-0.55384003,-0.49575252,0.60209713,0.01465161,-0.19063654,0.10359785,-0.072821245,-0.76801471,0.25690064,0.040754297,WALKING
0.32731657,-0.022255821,-0.1491439,-0.11945886,-0.17988025,0.33606717,0.94502756,-0.25147834,-0.024245992,0.040226175,-0.13076162,0.2750457,-0.045532379,-0.14600639,0.006802245,-0.089840429,-0.76947723,0.25616716,0.038575391,WALKING
0.3490591,-0.022003784,-0.15005217,-0.093376648,-0.18962413,0.36551352,0.9433439,-0.24400324,-0.020724365,0.93883707,0.60411764,0.69618922,-0.068353497,0.023946895,-0.013789422,-0.11313628,-0.77673604,0.25140647,0.036180384,WALKING
0.26468173,-0.008591927,-0.10297373,-0.0324229,-0.12167948,0.32497752,0.94864827,-0.23438221,-0.018602576,0.8069116,-0.29865324,0.16118014,-0.065824483,0.10470954,0.095624123,-0.20671579,-0.78696273,0.24447112,0.034676619,WALKING
0.28431748,-0.027205815,-0.21230304,-0.12876257,-0.1187349,0.3794407,0.9564181,-0.26000305,-0.014160474,-0.84847859,-0.52517125,0.48170764,0.19160162,-0.075822649,-0.022387581,-0.046277939,-0.76418507,0.26056458,0.031442044,WALKING
0.22172674,-0.02437697,-0.075076407,-0.21964029,-0.20833777,0.39502721,0.95149993,-0.26356251,-0.039357122,0.89779553,-0.15114262,-0.36113443,0.021483425,0.064451419,0.07278229,-0.006788252,-0.75699771,0.26332065,0.048844258,WALKING
0.29097148,-0.027810418,-0.042982545,-0.27903348,-0.16819987,0.34571235,0.93851389,-0.26841916,-0.036339041,0.90084112,-0.92703395,-0.77805152,-0.036618174,-0.089046514,0.15968851,-0.044258164,-0.75073949,0.26801857,0.046982881,WALKING
0.26108077,-0.015635621,-0.10258842,-0.35156811,-0.15298196,0.38631941,0.93447152,-0.26936496,-0.030656862,0.5984134,0.080005908,0.11348038,-0.0329982,-0.16724048,0.17633661,-0.041734145,-0.74996259,0.26915125,0.04310044,WALKING
0.25242505,0.006277346,-0.12518006,-0.26354976,-0.1672245,0.44457446,0.93776033,-0.26882859,-0.029314983,-0.45287074,-0.16166462,-0.086856164,-0.045132438,-0.26226896,0.055677772,-0.083892745,-0.75120873,0.26841942,0.042116144,WALKING
